                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1794,                 1.5077,                 1.3458,                0.65497,                0.38997,                0.37785,                0.24478,                 1.2883,                 1.8829,                 1.6006,                0.07003,                0.00333,                0.00333
                      2,                 1.1115,                 1.3568,                 1.2884,                0.46116,                0.61789,                0.49601,                 0.3118,                 1.2778,                 1.3769,                 1.6656,               0.039964,              0.0065974,              0.0065974
                      3,                 1.0432,                 1.2711,                 1.2447,                0.21888,                0.27722,                0.15447,                0.06641,                 2.7368,                 3.0926,                 3.9426,              0.0098317,              0.0097988,              0.0097988
                      4,                0.98167,                 1.1935,                 1.2063,                0.28824,                0.24801,                0.20764,                0.10149,                 2.0441,                 2.7284,                 2.7349,               0.009703,               0.009703,               0.009703
                      5,                0.95261,                 1.1643,                 1.1924,                0.50129,                0.68941,                0.62755,                0.42539,                 1.0723,                 1.2734,                 1.4327,               0.009703,               0.009703,               0.009703
                      6,                0.92366,                 1.1159,                 1.1743,                0.59897,                0.68784,                 0.6673,                0.50125,                0.85815,                 1.0156,                 1.2432,               0.009604,               0.009604,               0.009604
                      7,                0.90733,                 1.0905,                 1.1646,                0.61513,                0.67191,                0.65467,                0.47994,                0.88823,                 1.1241,                  1.301,               0.009505,               0.009505,               0.009505
                      8,                0.88584,                 1.0658,                 1.1485,                0.57403,                0.72921,                0.67606,                0.47307,                0.98822,                  1.045,                 1.3408,               0.009406,               0.009406,               0.009406
                      9,                 0.8717,                 1.0327,                  1.145,                0.61118,                0.78073,                 0.7676,                0.62252,                0.66025,                 0.8404,                 1.0888,               0.009307,               0.009307,               0.009307
                     10,                0.85991,                  1.017,                 1.1354,                0.54034,                0.63967,                0.62737,                 0.4137,                 1.0916,                 1.2393,                 1.5075,               0.009208,               0.009208,               0.009208
                     11,                0.84995,                 1.0024,                 1.1324,                0.61882,                 0.7505,                0.77657,                0.62936,                0.67548,                0.87276,                  1.101,               0.009109,               0.009109,               0.009109
                     12,                0.83535,                0.97993,                 1.1233,                0.66477,                0.77314,                0.77548,                0.63764,                0.64079,                0.84729,                 1.0694,                0.00901,                0.00901,                0.00901
                     13,                 0.8342,                0.96474,                 1.1247,                0.64818,                0.75576,                0.78465,                0.63933,                0.67719,                0.83213,                 1.0972,               0.008911,               0.008911,               0.008911
                     14,                0.82748,                0.95281,                   1.12,                0.65097,                0.77262,                0.80107,                0.66103,                0.63091,                0.77953,                 1.0453,               0.008812,               0.008812,               0.008812
                     15,                0.82002,                0.94758,                 1.1184,                0.74082,                0.78631,                0.82314,                0.68803,                0.60808,                0.67855,                  1.041,               0.008713,               0.008713,               0.008713
                     16,                0.81465,                0.93489,                 1.1137,                0.70407,                0.77392,                0.78816,                0.64761,                0.65056,                0.76896,                  1.076,               0.008614,               0.008614,               0.008614
                     17,                0.80701,                0.92073,                 1.1097,                0.73833,                0.78054,                0.82001,                0.68659,                 0.6158,                0.67089,                 1.0423,               0.008515,               0.008515,               0.008515
                     18,                0.80167,                0.91056,                 1.1057,                 0.7521,                 0.8013,                 0.8212,                0.68037,                0.63363,                0.69232,                 1.0802,               0.008416,               0.008416,               0.008416
                     19,                 0.7936,                0.89747,                  1.102,                0.63046,                0.76266,                0.78728,                0.64747,                  0.638,                0.86436,                 1.0652,               0.008317,               0.008317,               0.008317
                     20,                0.79137,                0.88977,                 1.0999,                  0.733,                0.78917,                0.81841,                0.68707,                0.60339,                0.66757,                 1.0291,               0.008218,               0.008218,               0.008218
                     21,                 0.7851,                0.88215,                 1.0969,                0.66414,                 0.7578,                0.77531,                0.61439,                0.76725,                0.81753,                 1.1585,               0.008119,               0.008119,               0.008119
                     22,                0.77943,                0.86389,                 1.0946,                0.77958,                0.81357,                0.84893,                0.72019,                0.57411,                 0.5956,                 1.0048,                0.00802,                0.00802,                0.00802
                     23,                0.77522,                0.86731,                 1.0939,                0.76983,                0.79925,                0.84055,                0.71478,                0.57641,                 0.6261,                 1.0265,               0.007921,               0.007921,               0.007921
                     24,                0.77683,                0.85989,                 1.0928,                0.79911,                0.79433,                0.85174,                0.72724,                0.56715,                0.59181,                 1.0013,               0.007822,               0.007822,               0.007822
