                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93005,                 1.5547,                 1.3374,                0.46056,                0.67124,                  0.585,                0.42986,                0.92278,                 1.5544,                 1.2972,                0.00333,                0.00333,                0.00333
                      2,                0.91406,                  1.144,                 1.2962,                0.59781,                0.73075,                0.68092,                0.51228,                0.85806,                0.97808,                 1.3039,              0.0065974,              0.0065974,              0.0065974
                      3,                0.96096,                 1.1604,                 1.3281,                 0.7071,                0.69016,                0.73789,                0.56239,                0.77571,                0.91931,                 1.2651,              0.0097988,              0.0097988,              0.0097988
                      4,                0.96404,                 1.1489,                 1.3354,                0.58808,                 0.7354,                0.73147,                 0.5923,                0.67802,                 0.9505,                 1.1569,               0.009703,               0.009703,               0.009703
                      5,                 0.9112,                 1.0816,                 1.2954,                0.72884,                0.75572,                0.79169,                0.65236,                0.64858,                0.78601,                 1.1321,               0.009604,               0.009604,               0.009604
                      6,                0.87549,                 1.0102,                  1.265,                0.73773,                0.75948,                0.78651,                0.64781,                 0.6619,                 0.7818,                 1.1474,               0.009505,               0.009505,               0.009505
                      7,                0.85348,                0.97465,                   1.26,                0.70359,                0.78213,                0.79939,                0.66522,                0.61955,                0.72244,                 1.1143,               0.009406,               0.009406,               0.009406
                      8,                0.82979,                0.94244,                 1.2427,                0.66346,                0.71264,                0.75018,                0.60088,                0.71156,                0.83135,                 1.1792,               0.009307,               0.009307,               0.009307
                      9,                0.82308,                 0.9245,                 1.2423,                0.73713,                0.78265,                0.80557,                0.66708,                0.63681,                0.69568,                 1.1065,               0.009208,               0.009208,               0.009208
                     10,                0.81081,                0.90925,                 1.2329,                0.78056,                 0.7706,                0.82488,                0.69321,                0.60643,                0.65806,                 1.0924,               0.009109,               0.009109,               0.009109
                     11,                0.80153,                0.89084,                 1.2277,                0.76438,                0.79429,                0.82775,                0.70491,                0.57595,                0.63605,                 1.0765,                0.00901,                0.00901,                0.00901
                     12,                0.78973,                0.87086,                 1.2197,                0.79131,                0.79339,                0.83912,                0.71815,                0.55617,                0.60723,                 1.0525,               0.008911,               0.008911,               0.008911
                     13,                0.78779,                0.85546,                   1.21,                0.78938,                  0.797,                0.83618,                 0.7169,                0.57246,                0.60033,                 1.0558,               0.008812,               0.008812,               0.008812
                     14,                0.78197,                0.85191,                 1.2116,                0.76829,                0.79359,                0.83211,                0.70679,                0.57025,                0.63233,                 1.0571,               0.008713,               0.008713,               0.008713
                     15,                0.77608,                0.83864,                 1.2062,                0.78251,                0.81084,                0.84392,                0.72806,                0.53133,                0.58796,                 1.0339,               0.008614,               0.008614,               0.008614
                     16,                0.76328,                0.82567,                 1.2024,                0.79089,                0.81243,                0.84228,                0.72408,                0.54828,                0.59532,                 1.0365,               0.008515,               0.008515,               0.008515
                     17,                0.76427,                0.81861,                 1.2058,                0.78214,                0.81198,                0.84558,                0.73917,                0.52495,                0.56759,                 1.0304,               0.008416,               0.008416,               0.008416
                     18,                0.75903,                0.81033,                 1.1851,                0.78052,                0.82143,                0.85234,                0.74183,                0.53965,                0.56924,                 1.0288,               0.008317,               0.008317,               0.008317
                     19,                0.75087,                0.79831,                 1.1866,                0.81114,                0.80195,                0.84947,                0.74185,                0.52277,                0.56677,                   1.03,               0.008218,               0.008218,               0.008218
                     20,                0.74696,                 0.7964,                 1.1895,                0.82385,                0.79972,                0.85487,                 0.7431,                0.52023,                0.55787,                 1.0049,               0.008119,               0.008119,               0.008119
                     21,                0.74447,                0.79085,                 1.1793,                0.81553,                0.81752,                0.85767,                0.74492,                0.51704,                0.54782,                  1.012,                0.00802,                0.00802,                0.00802
                     22,                0.74374,                0.77513,                 1.1777,                0.81571,                0.80713,                0.85984,                0.75394,                0.51013,                0.53588,                 1.0036,               0.007921,               0.007921,               0.007921
                     23,                0.73601,                0.76929,                 1.1685,                0.80352,                0.82068,                0.86246,                0.75708,                0.50826,                0.52883,                0.99239,               0.007822,               0.007822,               0.007822
                     24,                0.73491,                0.76183,                 1.1709,                0.80359,                0.83382,                0.86604,                0.76211,                0.50751,                0.51917,                 1.0054,               0.007723,               0.007723,               0.007723
                     25,                0.73097,                0.75273,                 1.1747,                0.83279,                0.81425,                 0.8705,                0.76465,                0.50613,                0.51008,                0.99641,               0.007624,               0.007624,               0.007624
                     26,                0.72778,                0.75355,                 1.1772,                0.81413,                0.82569,                0.86577,                0.76361,                0.50276,                0.51524,                 1.0007,               0.007525,               0.007525,               0.007525
                     27,                0.72436,                0.73966,                 1.1715,                0.81284,                0.83046,                 0.8707,                0.76761,                0.50021,                0.51146,                  1.003,               0.007426,               0.007426,               0.007426
