                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46058,                 1.0861,                0.55245,                  1.029,                 0.8323,                0.79814,                0.91969,                0.79882,                0.83392,                0.79969,                 0.9223,                0.78649,                0.46271,                 0.6143,                 1.7945,                0.77233,             0.00066408,             0.00066408,             0.00066408
                      2,                0.43002,                 0.7073,                0.37712,                0.99561,                0.81751,                0.91124,                0.93269,                0.81929,                 0.8189,                0.91279,                0.93402,                0.83638,                0.59493,                0.50337,                0.92636,                 0.9143,              0.0013176,              0.0013176,              0.0013176
                      3,                0.42445,                0.71724,                0.36531,                0.98958,                0.98943,                0.99689,                 0.9941,                0.87512,                0.98943,                0.99689,                 0.9941,                0.87489,                0.44581,                0.71911,                0.93051,                0.64776,              0.0019579,              0.0019579,              0.0019579
                      4,                0.39511,                0.64695,                 0.3236,                0.97704,                0.98125,                0.97518,                0.99096,                0.95317,                0.98125,                0.97518,                0.99096,                0.95761,                0.33303,                0.46835,                 1.2279,                0.64806,              0.0019406,              0.0019406,              0.0019406
                      5,                0.38988,                0.66068,                0.30536,                0.97512,                0.99073,                0.99558,                0.99484,                 0.9271,                0.98918,                0.99403,                0.99478,                0.91862,                0.39864,                0.89301,                0.89088,                0.67064,              0.0019208,              0.0019208,              0.0019208
                      6,                0.37562,                0.66301,                0.29568,                 0.9717,                0.99425,                0.99068,                0.99497,                0.93142,                0.99425,                0.99068,                0.99497,                0.94431,                0.35009,                0.39163,                0.42863,                0.65155,               0.001901,               0.001901,               0.001901
                      7,                0.37085,                0.63633,                0.28562,                0.96885,                0.99225,                0.99392,                0.99497,                0.95898,                0.99225,                0.99392,                0.99497,                0.96445,                0.32411,                0.43129,                0.38308,                0.61621,              0.0018812,              0.0018812,              0.0018812
                      8,                0.35587,                0.62128,                0.27341,                0.95885,                0.99381,                0.99704,                0.99486,                 0.9542,                0.99381,                0.99704,                0.99486,                0.93242,                0.26714,                0.40891,                 0.6409,                0.58341,              0.0018614,              0.0018614,              0.0018614
                      9,                0.35222,                0.62348,                0.27362,                0.95848,                0.99746,                      1,                0.99452,                0.96523,                0.99746,                      1,                0.99452,                0.92658,                0.33977,                0.39703,                 0.7552,                0.61602,              0.0018416,              0.0018416,              0.0018416
                     10,                0.34395,                0.61555,                0.26617,                0.95406,                0.99829,                      1,                  0.995,                  0.977,                0.99829,                      1,                  0.995,                0.96688,                 0.2982,                0.40284,                0.35117,                0.59436,              0.0018218,              0.0018218,              0.0018218
                     11,                0.34399,                0.61271,                 0.2606,                0.95655,                0.98153,                0.99044,                0.99269,                0.97255,                0.98307,                0.99199,                0.99296,                0.96893,                0.28747,                0.41042,                0.40297,                0.56908,               0.001802,               0.001802,               0.001802
                     12,                0.33435,                0.59171,                0.25635,                0.95155,                0.99678,                0.99845,                  0.995,                0.98471,                0.99678,                0.99845,                  0.995,                 0.9748,                0.26962,                0.37172,                0.40941,                0.54318,              0.0017822,              0.0017822,              0.0017822
                     13,                0.33431,                0.59704,                0.25412,                0.95089,                0.99172,                0.99534,                0.99456,                0.95442,                0.99172,                0.99534,                0.99456,                0.93959,                0.34255,                0.45084,                 1.1549,                0.64119,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.3346,                0.59304,                0.25057,                0.95136,                0.99666,                      1,                0.99494,                0.98429,                0.99666,                      1,                0.99494,                0.97855,                0.24409,                0.37771,                0.29009,                0.52874,              0.0017426,              0.0017426,              0.0017426
                     15,                0.32314,                0.57533,                0.24809,                0.94851,                0.99729,                0.99845,                  0.995,                0.98115,                0.99729,                0.99845,                  0.995,                0.97185,                0.27328,                0.36973,                0.41412,                0.55787,              0.0017228,              0.0017228,              0.0017228
                     16,                0.32701,                0.57637,                0.24121,                0.95288,                0.99991,                      1,                  0.995,                0.96787,                0.99991,                      1,                  0.995,                 0.9678,                0.26583,                0.36216,                0.43031,                0.59358,               0.001703,               0.001703,               0.001703
                     17,                 0.3268,                0.59382,                0.24194,                0.94673,                0.99349,                      1,                0.99376,                0.97394,                0.99349,                      1,                0.99376,                0.96674,                0.24851,                0.36783,                0.59847,                0.55091,              0.0016832,              0.0016832,              0.0016832
                     18,                0.31944,                0.57359,                0.24067,                0.94342,                0.99983,                      1,                  0.995,                0.98149,                0.99983,                      1,                  0.995,                0.97863,                0.30311,                0.35796,                0.31117,                0.60371,              0.0016634,              0.0016634,              0.0016634
                     19,                0.31973,                 0.5672,                0.23923,                0.94357,                0.99845,                0.99834,                  0.995,                0.97962,                0.99845,                0.99834,                  0.995,                0.97405,                0.24776,                0.46383,                 0.6153,                0.56048,              0.0016436,              0.0016436,              0.0016436
                     20,                0.31741,                0.56622,                0.23987,                0.94299,                0.99996,                      1,                  0.995,                0.98467,                0.99996,                      1,                  0.995,                0.98373,                0.26838,                0.36491,                0.40141,                0.55317,              0.0016238,              0.0016238,              0.0016238
                     21,                0.31584,                0.55638,                0.23619,                0.94252,                0.99637,                      1,                0.99498,                0.98346,                0.99637,                      1,                0.99498,                0.97818,                0.20356,                0.33552,                0.25461,                0.50087,               0.001604,               0.001604,               0.001604
                     22,                0.30966,                0.54753,                 0.2284,                0.94464,                0.99985,                      1,                  0.995,                0.98463,                0.99985,                      1,                  0.995,                 0.9822,                0.27194,                0.33646,                0.27582,                 0.5646,              0.0015842,              0.0015842,              0.0015842
                     23,                0.31994,                0.56475,                0.23703,                0.94645,                0.99971,                      1,                  0.995,                0.97986,                0.99971,                      1,                  0.995,                0.96137,                0.24378,                0.37161,                0.50505,                0.53457,              0.0015644,              0.0015644,              0.0015644
                     24,                0.30613,                0.53902,                0.22545,                0.93942,                      1,                0.99953,                  0.995,                0.98523,                      1,                0.99953,                  0.995,                 0.9729,                0.28301,                0.33037,                0.35384,                 0.5696,              0.0015446,              0.0015446,              0.0015446
                     25,                0.31138,                0.56161,                0.22886,                0.94386,                 0.9977,                      1,                  0.995,                0.98289,                 0.9977,                      1,                  0.995,                0.97634,                0.25345,                0.34332,                  0.394,                0.53284,              0.0015248,              0.0015248,              0.0015248
                     26,                0.30432,                0.54343,                0.22691,                0.93895,                0.99988,                      1,                  0.995,                0.98775,                0.99988,                      1,                  0.995,                0.98254,                0.23381,                0.32761,                0.25778,                0.51445,               0.001505,               0.001505,               0.001505
                     27,                0.30663,                0.55194,                0.22578,                0.93849,                0.99987,                      1,                  0.995,                0.98347,                0.99987,                      1,                  0.995,                0.97448,                0.23567,                0.41708,                0.71305,                0.51735,              0.0014852,              0.0014852,              0.0014852
                     28,                0.30627,                0.54307,                0.22624,                0.94112,                0.99977,                      1,                  0.995,                0.97921,                0.99977,                      1,                  0.995,                0.97958,                0.22356,                0.33766,                0.25517,                0.53663,              0.0014654,              0.0014654,              0.0014654
                     29,                0.30459,                0.54606,                0.22154,                0.94193,                0.99875,                      1,                  0.995,                0.97995,                0.99875,                      1,                  0.995,                0.96955,                   0.29,                0.34583,                 0.3183,                0.56975,              0.0014456,              0.0014456,              0.0014456
                     30,                0.30423,                  0.559,                0.21729,                0.94191,                0.99984,                      1,                  0.995,                0.98635,                0.99984,                      1,                  0.995,                0.97763,                0.25172,                0.36066,                0.29219,                0.53206,              0.0014258,              0.0014258,              0.0014258
                     31,                0.30367,                0.54904,                0.22263,                0.93862,                0.99988,                      1,                  0.995,                 0.9853,                0.99988,                      1,                  0.995,                 0.9798,                0.24958,                0.34068,                0.32274,                0.52741,               0.001406,               0.001406,               0.001406
                     32,                0.29793,                0.54655,                0.21689,                0.93735,                      1,                0.99048,                  0.995,                0.98056,                      1,                0.99048,                  0.995,                0.97806,                0.23592,                 0.3759,                0.69046,                0.53362,              0.0013862,              0.0013862,              0.0013862
                     33,                0.29702,                0.54466,                0.21549,                0.93536,                0.99988,                      1,                  0.995,                0.98623,                0.99988,                      1,                  0.995,                0.97094,                0.27404,                0.33279,                0.37723,                0.55005,              0.0013664,              0.0013664,              0.0013664
                     34,                0.29677,                0.55412,                0.21304,                0.93352,                0.99845,                 0.9971,                  0.995,                0.98551,                0.99845,                 0.9971,                  0.995,                0.98053,                0.21493,                0.32964,                0.18096,                0.51021,              0.0013466,              0.0013466,              0.0013466
