                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36504,                0.92069,                      1,                 0.4152,              0.0033308,              0.0033308,              0.0033308
                      2,                0.26121,                0.93578,                      1,                0.38846,              0.0065322,              0.0065322,              0.0065322
                      3,                0.25892,                0.90345,                      1,                0.41769,              0.0096015,              0.0096015,              0.0096015
                      4,                0.25343,                0.93276,                      1,                0.39208,               0.009406,               0.009406,               0.009406
                      5,                0.22887,                0.92759,                      1,                0.39083,               0.009208,               0.009208,               0.009208
                      6,                0.21541,                0.93103,                      1,                0.38486,                0.00901,                0.00901,                0.00901
                      7,                0.21418,                0.93879,                      1,                0.38116,               0.008812,               0.008812,               0.008812
                      8,                0.20721,                0.93922,                      1,                0.37987,               0.008614,               0.008614,               0.008614
                      9,                0.20294,                0.93491,                      1,                0.38461,               0.008416,               0.008416,               0.008416
                     10,                0.20269,                0.93491,                      1,                0.38927,               0.008218,               0.008218,               0.008218
                     11,                0.20047,                0.94181,                      1,                0.37943,                0.00802,                0.00802,                0.00802
                     12,                0.19673,                 0.9431,                      1,                0.38061,               0.007822,               0.007822,               0.007822
                     13,                0.18895,                0.94655,                      1,                 0.3749,               0.007624,               0.007624,               0.007624
                     14,                 0.1905,                0.93793,                      1,                0.37624,               0.007426,               0.007426,               0.007426
                     15,                0.18899,                0.93621,                      1,                0.38046,               0.007228,               0.007228,               0.007228
                     16,                0.18759,                0.93922,                      1,                0.38122,                0.00703,                0.00703,                0.00703
                     17,                0.18484,                0.94138,                      1,                0.37866,               0.006832,               0.006832,               0.006832
                     18,                0.18704,                0.94095,                      1,                0.37945,               0.006634,               0.006634,               0.006634
                     19,                0.18503,                0.94095,                      1,                0.38185,               0.006436,               0.006436,               0.006436
                     20,                0.18193,                 0.9444,                      1,                0.37299,               0.006238,               0.006238,               0.006238
                     21,                 0.1779,                0.94224,                      1,                0.37628,                0.00604,                0.00604,                0.00604
                     22,                0.17928,                0.94569,                      1,                0.37617,               0.005842,               0.005842,               0.005842
                     23,                0.17535,                0.94828,                      1,                 0.3743,               0.005644,               0.005644,               0.005644
                     24,                0.16921,                0.94828,                      1,                0.37293,               0.005446,               0.005446,               0.005446
                     25,                0.17317,                0.94397,                      1,                 0.3738,               0.005248,               0.005248,               0.005248
                     26,                0.17066,                0.94397,                      1,                0.37497,                0.00505,                0.00505,                0.00505
                     27,                0.16892,                 0.9431,                      1,                0.37523,               0.004852,               0.004852,               0.004852
                     28,                0.16634,                0.94612,                      1,                0.37258,               0.004654,               0.004654,               0.004654
                     29,                0.16444,                0.94224,                      1,                0.37491,               0.004456,               0.004456,               0.004456
                     30,                0.16289,                 0.9444,                      1,                0.37312,               0.004258,               0.004258,               0.004258
                     31,                0.15867,                0.94526,                      1,                 0.3723,                0.00406,                0.00406,                0.00406
                     32,                0.15989,                0.94267,                      1,                  0.373,               0.003862,               0.003862,               0.003862
                     33,                0.15978,                0.94353,                      1,                0.37329,               0.003664,               0.003664,               0.003664
                     34,                0.16129,                0.94267,                      1,                0.37391,               0.003466,               0.003466,               0.003466
                     35,                0.15252,                0.94569,                      1,                0.37201,               0.003268,               0.003268,               0.003268
                     36,                0.15469,                0.94181,                      1,                0.37184,                0.00307,                0.00307,                0.00307
                     37,                0.15206,                0.94483,                      1,                0.37067,               0.002872,               0.002872,               0.002872
                     38,                0.14675,                0.94655,                      1,                0.37176,               0.002674,               0.002674,               0.002674
                     39,                0.14641,                0.94655,                      1,                0.37067,               0.002476,               0.002476,               0.002476
                     40,                0.13998,                 0.9444,                      1,                0.37157,               0.002278,               0.002278,               0.002278
                     41,                0.13969,                0.94397,                      1,                0.37039,                0.00208,                0.00208,                0.00208
                     42,                0.13862,                0.94526,                      1,                 0.3699,               0.001882,               0.001882,               0.001882
                     43,                0.13604,                0.94569,                      1,                0.37085,               0.001684,               0.001684,               0.001684
                     44,                0.13248,                0.94655,                      1,                0.36934,               0.001486,               0.001486,               0.001486
                     45,                0.12958,                0.94698,                      1,                0.36904,               0.001288,               0.001288,               0.001288
                     46,                0.12712,                0.94655,                      1,                0.36925,                0.00109,                0.00109,                0.00109
                     47,                0.12192,                0.94655,                      1,                0.36896,               0.000892,               0.000892,               0.000892
                     48,                0.11686,                0.94569,                      1,                0.36834,               0.000694,               0.000694,               0.000694
                     49,                0.11526,                0.94569,                      1,                0.36923,               0.000496,               0.000496,               0.000496
                     50,                0.11515,                0.94526,                      1,                 0.3688,               0.000298,               0.000298,               0.000298
