                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96941,                 1.7664,                 1.1865,                0.36246,                0.42271,                0.36954,                0.29566,                0.68371,                 1.3788,                0.94483,              0.0033328,              0.0033328,              0.0033328
                      2,                0.93161,                 1.4544,                 1.1381,                0.38377,                0.49761,                0.42727,                0.33978,                0.64138,                 1.2602,                0.92489,              0.0065341,              0.0065341,              0.0065341
                      3,                 0.9636,                 1.4681,                 1.1638,                0.38317,                0.40137,                0.35938,                0.28866,                0.64093,                 1.5825,                0.93381,              0.0096035,              0.0096035,              0.0096035
                      4,                0.94446,                 1.4229,                 1.1626,                0.46821,                0.44944,                 0.4356,                0.35772,                0.60307,                 1.3893,                0.91878,               0.009406,               0.009406,               0.009406
                      5,                 0.9037,                  1.336,                 1.1445,                0.47517,                0.43474,                0.44242,                0.36808,                0.59468,                 1.5435,                 0.9176,               0.009406,               0.009406,               0.009406
                      6,                0.87688,                 1.2772,                 1.1308,                 0.5169,                0.47126,                0.47912,                0.40032,                0.58273,                 1.4417,                0.91027,               0.009208,               0.009208,               0.009208
                      7,                0.86147,                 1.2401,                  1.124,                 0.5475,                0.46295,                0.48553,                0.40335,                0.57358,                 1.4827,                0.90832,                0.00901,                0.00901,                0.00901
                      8,                 0.8472,                 1.2081,                 1.1179,                0.55708,                0.46476,                0.51369,                0.42647,                0.56857,                  1.454,                0.90683,               0.008812,               0.008812,               0.008812
                      9,                0.83863,                 1.1815,                 1.1172,                0.57173,                0.47606,                  0.531,                0.44009,                0.56549,                 1.3974,                0.90564,               0.008614,               0.008614,               0.008614
                     10,                0.83193,                  1.159,                 1.1116,                 0.5599,                0.49418,                0.53479,                0.44325,                0.56357,                 1.3995,                0.90479,               0.008416,               0.008416,               0.008416
                     11,                0.82646,                 1.1383,                  1.109,                0.56414,                0.49333,                0.53722,                0.44609,                0.56233,                 1.4129,                0.90458,               0.008218,               0.008218,               0.008218
                     12,                0.81727,                 1.1218,                 1.1045,                0.57173,                0.49855,                0.54078,                0.44758,                0.56143,                 1.4273,                0.90443,                0.00802,                0.00802,                0.00802
                     13,                0.81333,                 1.1024,                 1.1007,                0.58988,                0.49291,                0.54047,                0.44853,                0.56048,                 1.4436,                0.90349,               0.007822,               0.007822,               0.007822
                     14,                 0.8106,                   1.09,                 1.1006,                0.60345,                0.49263,                0.54409,                0.45005,                0.55949,                 1.4461,                0.90351,               0.007624,               0.007624,               0.007624
                     15,                0.80564,                 1.0713,                 1.0974,                0.60436,                0.50264,                0.55139,                0.45688,                0.55874,                 1.4497,                0.90328,               0.007426,               0.007426,               0.007426
                     16,                0.80035,                 1.0609,                  1.095,                0.59757,                0.51087,                0.55717,                0.46171,                0.55802,                 1.4425,                0.90336,               0.007228,               0.007228,               0.007228
                     17,                0.79933,                 1.0449,                  1.093,                0.59739,                0.50739,                0.55857,                0.46475,                0.55735,                 1.4396,                0.90314,                0.00703,                0.00703,                0.00703
                     18,                0.79922,                 1.0714,                 1.0939,                0.60066,                0.51867,                0.56441,                0.46978,                0.55582,                 1.4163,                0.90183,                0.00703,                0.00703,                0.00703
                     19,                0.79915,                 1.0606,                 1.0947,                0.60807,                0.51821,                0.57022,                0.47524,                0.55431,                  1.411,                0.90107,               0.006634,               0.006634,               0.006634
