                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98932,                 1.9056,                 1.7978,                  1.241,                0.28917,                0.43815,                 0.2958,                 0.2053,                0.27879,                 0.4248,                0.28715,                 0.1866,                0.95868,                 1.7177,                 1.0971,                 1.1789,              0.0033293,              0.0033293,              0.0033293
                      2,                0.90664,                 1.5405,                  1.312,                 1.1428,                0.42949,                0.39777,                0.34416,                0.24795,                0.43052,                0.39869,                0.34331,                0.23201,                0.81263,                  1.402,                  1.036,                 1.0321,              0.0065307,              0.0065307,              0.0065307
                      3,                0.97128,                 1.5829,                 1.3391,                 1.1726,                0.30998,                0.54764,                0.34845,                0.25704,                0.31092,                0.51869,                0.34208,                0.23747,                0.75737,                   1.29,                0.94569,                0.97765,              0.0096002,              0.0096002,              0.0096002
                      4,                0.98486,                 1.5853,                 1.3285,                 1.1862,                0.31187,                0.45919,                0.32284,                0.22011,                0.30813,                0.45362,                0.31828,                0.19666,                0.99766,                 1.7551,                 1.2261,                 1.1792,               0.009406,               0.009406,               0.009406
                      5,                0.94862,                   1.54,                 1.2771,                 1.1742,                0.39675,                 0.5514,                0.47259,                0.33449,                0.39285,                0.54515,                 0.4687,                0.30545,                0.72494,                 1.2993,                0.86576,                0.98676,               0.009406,               0.009406,               0.009406
                      6,                0.92421,                 1.5059,                 1.2307,                 1.1628,                0.39956,                0.59964,                0.48699,                 0.3562,                0.40197,                0.59367,                0.48612,                0.33584,                0.69643,                 1.2112,                0.82824,                0.97809,               0.009208,               0.009208,               0.009208
                      7,                0.89192,                 1.4773,                  1.183,                 1.1467,                0.44026,                0.48518,                 0.4487,                0.32918,                0.43944,                0.48416,                0.44801,                0.31177,                0.71911,                  1.187,                 0.8404,                0.99641,                0.00901,                0.00901,                0.00901
                      8,                0.87997,                 1.4514,                 1.1495,                 1.1458,                0.43589,                0.53671,                0.44881,                 0.3278,                0.43548,                0.53581,                 0.4472,                0.30117,                0.74452,                 1.3391,                0.96727,                 1.0246,               0.008812,               0.008812,               0.008812
                      9,                0.86572,                 1.4378,                 1.1326,                 1.1362,                0.39516,                0.62495,                0.48228,                0.36157,                0.39868,                0.62383,                 0.4792,                 0.3395,                0.64906,                 1.1117,                0.79565,                 0.9692,               0.008614,               0.008614,               0.008614
                     10,                0.85144,                 1.4134,                 1.0973,                 1.1334,                0.50776,                0.63565,                0.57935,                0.42457,                0.50777,                0.63551,                0.58001,                0.41187,                0.66316,                  1.102,                0.75673,                0.96074,               0.008416,               0.008416,               0.008416
                     11,                0.84337,                 1.4111,                 1.0801,                 1.1269,                0.42372,                0.57904,                0.50292,                0.38559,                0.41963,                0.57931,                0.50277,                0.36669,                0.63548,                 1.1495,                0.78382,                0.96242,               0.008218,               0.008218,               0.008218
                     12,                0.83743,                 1.3995,                 1.0687,                 1.1267,                0.46767,                0.60028,                0.54146,                0.41333,                0.46529,                0.59719,                 0.5411,                 0.3891,                0.62591,                 1.0787,                0.72786,                0.96357,                0.00802,                0.00802,                0.00802
                     13,                0.81332,                  1.371,                 1.0404,                 1.1158,                0.47865,                0.51842,                0.52857,                0.40011,                0.47746,                0.51662,                0.52552,                0.37049,                0.64807,                 1.1704,                0.80161,                0.97114,               0.007822,               0.007822,               0.007822
                     14,                0.81411,                 1.3672,                 1.0325,                 1.1127,                0.52659,                0.65235,                0.58868,                0.44998,                0.52681,                0.65276,                 0.5892,                0.42825,                0.61259,                 1.0577,                 0.6927,                 0.9475,               0.007624,               0.007624,               0.007624
                     15,                0.81319,                 1.3601,                 1.0164,                 1.1122,                0.55812,                0.67211,                0.62066,                0.46866,                0.55764,                0.67197,                0.61648,                0.44372,                 0.6106,                 1.0513,                0.66965,                0.96247,               0.007426,               0.007426,               0.007426
                     16,                0.80223,                 1.3474,                 1.0025,                 1.1121,                0.56775,                0.62594,                0.61998,                0.48058,                 0.5654,                0.62515,                0.61782,                0.45378,                0.59868,                 1.0363,                0.66935,                0.96017,               0.007228,               0.007228,               0.007228
                     17,                0.80577,                  1.354,                0.99578,                 1.1127,                0.51584,                0.66205,                0.58309,                 0.4497,                0.52045,                0.66755,                0.58617,                0.43695,                 0.5801,                 1.0074,                0.67443,                0.93526,                0.00703,                0.00703,                0.00703
                     18,                0.79086,                  1.335,                0.97532,                 1.1015,                0.60748,                0.65041,                0.63344,                0.48333,                0.61119,                0.64524,                0.63318,                0.46168,                0.57874,                 1.0059,                0.66904,                0.93526,               0.006832,               0.006832,               0.006832
                     19,                0.77633,                 1.3283,                0.96214,                 1.0963,                0.58889,                0.60679,                0.62391,                0.48814,                0.60017,                0.60169,                0.62575,                 0.4665,                0.60843,                 1.1903,                0.71289,                0.95703,               0.006634,               0.006634,               0.006634
                     20,                0.77559,                 1.3204,                0.94621,                  1.096,                0.62845,                0.65502,                0.66344,                  0.519,                0.62902,                 0.6558,                0.66436,                0.49169,                0.57648,                 1.0211,                0.65682,                0.93015,               0.006436,               0.006436,               0.006436
                     21,                0.77972,                 1.3253,                0.93719,                 1.0949,                0.62962,                0.61078,                0.65469,                0.51979,                 0.6289,                0.60988,                0.65478,                0.49842,                0.56983,                0.99426,                0.63297,                0.92294,               0.006238,               0.006238,               0.006238
                     22,                0.76761,                 1.3028,                0.92937,                 1.0933,                0.54612,                 0.6615,                0.63319,                0.48692,                0.52002,                0.69062,                0.63044,                0.46476,                0.56976,                 1.0746,                0.67788,                 0.9328,                0.00604,                0.00604,                0.00604
